,Positive,,,,,Negative,,,,,,
Lipid Class,P0,P1,P2,P3,P4,N0,N1,N2,N3,N4,Sensitivity Pos,Sensitivity Neg
ACer,[M+H]+,[M+H-H2O]+,[M-H2O+H]+,NA,NA,[M+formate]-,[M-H]-,NA,NA,NA,0.421530955,0.813466377
BMP,[M+NH4]+,[M+H]+,NA,NA,NA,[M-H]-,NA,NA,NA,NA,0.577667883,0.772520627
Car,[M+H]+,NA,NA,NA,NA,[M+formate]-,NA,NA,NA,NA,0.512069751,0.914269894
CDP-DG,[M+NH4]+,NA,NA,NA,NA,[M-H]-,[M+formate]-,[M-2H]2-,NA,NA,0.603086438,0.603537125
CE,[M+NH4]+,NA,NA,NA,NA,[M-H]-,[M+formate]-,NA,NA,NA,0.611714344,0.969955418
Cer,[M+H]+,[M+H-H2O]+,[M-H2O+H]+,NA,NA,[M+formate]-,[M-H]-,NA,NA,NA,0.326195311,0.813052951
CerP,[M+H]+,[M+NH4]+,NA,NA,NA,[M+formate]-,[M-H]-,NA,NA,NA,0.061813372,0.778436163
CL,[M+NH4]+,[M+H]+,NA,NA,NA,[M-H]-,[M-2H]2-,NA,NA,NA,0.716151838,0.68492216
CoA,[M+H]+,[M+NH4]+,NA,NA,NA,[M-H]-,[M-2H]2-,NA,NA,NA,0.10822135,0.371225639
DG,[M+NH4]+,NA,NA,NA,NA,[M+formate]-,NA,NA,NA,NA,0.658042981,0.894061845
DGCC,[M+NH4]+,NA,NA,NA,NA,[M+formate]-,NA,NA,NA,NA,0.780202716,0.889613065
DGDG,[M+NH4]+,NA,NA,NA,NA,[M+formate]-,[M-2H]2-,NA,NA,NA,0.817096086,0.567151828
DGMG,[M+NH4]+,NA,NA,NA,NA,[M+formate]-,[M-2H]2-,NA,NA,NA,0.66560911,0.563940901
DGTA,[M+NH4]+,NA,NA,NA,NA,[M+formate]-,NA,NA,NA,NA,0.703428487,0.898776402
DGTS,[M+NH4]+,NA,NA,NA,NA,[M+formate]-,NA,NA,NA,NA,0.703428487,0.898776402
FA,[M+Na]+,[M+NH4]+,[M-H2O+H]+,[M+H-H2O]+,NA,[M-H]-,[M+formate]-,NA,NA,NA,0.328386296,0.866849634
FAG,[M+Na]+,[M+NH4]+,NA,NA,NA,[M-H]-,[M+formate]-,NA,NA,NA,0.482730519,0.678370568
FAHFA,[M+Na]+,[M+NH4]+,[M+H-H2O]+,[M-H2O+H]+,NA,[M-H]-,[M+formate]-,NA,NA,NA,0.421052579,0.909584386
FAL,[M+Na]+,[M+NH4]+,NA,NA,NA,[M-H]-,[M+formate]-,NA,NA,NA,0.53101212,0.979330741
FOH,[M+Na]+,[M+NH4]+,NA,NA,NA,[M-H]-,[M+formate]-,NA,NA,NA,0.500610051,0.936685225
Gangliosides,[M+H]+,[M+NH4]+,[M+H-H2O]+,[M-H2O+H]+,NA,[M+formate]-,[M-H]-,[M-2H]2-,NA,NA,0.53333964,0
GlcADG,[M+NH4]+,NA,NA,NA,NA,[M+formate]-,[M-H]-,[M-2H]2-,NA,NA,0.546259025,0.725858664
GlcCer,[M+H]+,[M+H-H2O]+,[M-H2O+H]+,NA,NA,[M+formate]-,[M-H]-,NA,NA,NA,0.388298482,0.663263761
Glc-GP,[M+H]+,[M+NH4]+,NA,NA,NA,[M+formate]-,[M-H]-,[M-2H]2-,NA,NA,0.610879197,0.661829051
