Class,IS for normalization (main) POS,IS for normalization (option 1) POS,IS for normalization (option 2) POS,IS for normalization (option 3) POS,IS for normalization (main) NEG,IS for normalization (option 1) NEG,IS for normalization (option 2) NEG,IS for normalization (option 3) NEG
CAR,[D7]LPC 18:1,[D7]LPE 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D7]LPE 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
CoA,[D7]PA 15:0_18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]PA 15:0_18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
FA,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
FAG,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
FAHFA,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
FAL,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
FOH,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
HC,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
NA,[D7]LPE 18:1,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPE 18:1,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
NAE,[D7]LPE 18:1,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPE 18:1,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
NAHis,[D7]LPE 18:1,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPE 18:1,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
NAT,[D7]LPE 18:1,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPE 18:1,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
WE,[D7]DG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
DG,[D7]DG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
DGCC,[D7]DG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
DGDG,[D7]DG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
DGMG,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
DGTA,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
DGTS,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
GlcADG,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
MG,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
MGDG,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
MGMG,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
SQDG,[D7]DG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
SQMG,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]MG 18:1,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
TG,[D7]TG 15:0_18:1_15:0,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]TG 15:0_18:1_15:0,[D7]DG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
BMP,[D7]PA 15:0_18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PE 15:0_18:1,[D7]PA 15:0_18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PE 15:0_18:1
CDP-DG,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]DG 15:0_18:1,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
CL,[D7]PG 15:0_18:1,[D7]PA 15:0_18:1,[D7]PC 15:0_18:1,[D7]PE 15:0_18:1,[D7]PG 15:0_18:1,[D7]PA 15:0_18:1,[D7]PC 15:0_18:1,[D7]PE 15:0_18:1
Glc-GP,[D7]PC 15:0_18:1,[D7]PE 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PE 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
GP,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]PE 15:0_18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]PE 15:0_18:1,[D7]PG 15:0_18:1
LPA,[D7]LPC 18:1,[D7]LPE 18:1,[D7]PC 15:0_18:1,[D7]PA 15:0_18:1,[D7]LPC 18:1,[D7]LPE 18:1,[D7]PC 15:0_18:1,[D7]PA 15:0_18:1
LPC,[D7]LPC 18:1,[D7]LPE 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D7]LPE 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
LPE,[D7]LPE 18:1,[D7]LPC 18:1,[D7]PE 15:0_18:1,[D7]PC 15:0_18:1,[D7]LPE 18:1,[D7]LPC 18:1,[D7]PE 15:0_18:1,[D7]PC 15:0_18:1
LPG,[D7]LPC 18:1,[D7]LPE 18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D7]LPC 18:1,[D7]LPE 18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1
LPI,[D7]LPC 18:1,[D7]LPE 18:1,[D7]PI 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D7]LPE 18:1,[D7]PI 15:0_18:1,[D7]PG 15:0_18:1
