Class,IS for normalization (main) POS,IS for normalization (option 1) POS,IS for normalization (option 2) POS,IS for normalization (option 3) POS,IS for normalization (option 4) POS,IS for normalization (main) NEG,IS for normalization (option 1) NEG,IS for normalization (option 2) NEG,IS for normalization (option 3) NEG
ACer,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]PG 16:0_16:0,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
Am-Hex-PE,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]LPE 16:0,[D7]LPC 18:1,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]LPE 16:0
BMP,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0
CAR,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
CDP-DG,[D9]DG 16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D9]DG 16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
CE,[D7]CE 16:0,[D6]ST 27:1;O ,[D9]TG 16:0_16:0_16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]CE 16:0,[D6]ST 27:1;O ,[D9]TG 16:0_16:0_16:0,[D7]PC 15:0_18:1
Cer,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
CerP,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
CerPE,[D9]PE 16:0_16:0,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1
CerPI,[D7]PG 15:0_18:1,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]PG 15:0_18:1,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1
CL,[D5]CL 18:2/18:2/18:2/18:2,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D5]CL 18:2/18:2/18:2/18:2,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
MLCL,[D5]CL 18:2/18:2/18:2/18:2,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D5]CL 18:2/18:2/18:2/18:2,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
DLCL,[D5]CL 18:2/18:2/18:2/18:2,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D5]CL 18:2/18:2/18:2/18:2,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
CoA,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
CPA,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1
DG,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1
DGCC,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1
Hex2DG,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1
Hex2MG,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1
DGTA,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]TG 16:0_16:0_16:0,[D7]MG 18:1,[D7]PC 15:0_18:1
