Contaminant,m/z,polarity
"Formic acid, dimer, FA (anion)",112.98563,Neg
Iodine anion (Iodide),126.90502,Neg
Unknown,144.9232906,Neg
Unknown,158.9753525,Neg
Unknown,159.975647,Neg
"Pentafluoropropionic acid, Perfluoropropionic acid",162.9824,Neg
2-Mercaptobenzothiazole,165.9791,Neg
Unknown,174.9558307,Neg
Unknown,208.0645823,Neg
n-butyl benzenesulfonamide,212.07507,Neg
"Trifluoroacetic acid, TFA (anion)",226.97845,Neg
Dantron,239.03389,Neg
"Trifluoroacetic acid, TFA, sodiated (anion)",248.9604,Neg
Trifluoroacetic acid,248.9604,Neg
Sodium formate 3,248.9605,Neg
Unknown,248.9730512,Neg
Lauryl sulfate,265.1479,Neg
Tetradecylsulfate,293.1781,Neg
Unknown,299.1608887,Neg
Triptophenolide,311.16527,Neg
Triptophenolide,311.16827,Neg
Copper catalyst iodide adduct,316.7391,Neg
Sodium formate 4,316.9479,Neg
Copper catalyst iodide adduct,318.73729,Neg
Dodecylbenzenesulfonic acid,325.18429,Neg
Canrenone,339.1966,Neg
Sodium formate 5,384.9353,Neg
Sodium formate 6,452.9227,Neg
Sodium formate 7,520.9102,Neg
Irganox 1076,529.4615,Neg
Sodium formate 2,588.8976,Neg
Sodium formate 3,656.885,Neg
Unknown,668.2818011,Neg
Unknown,668.3177494,Neg
Unknown,687.3117537,Neg
Unknown,702.3033261,Neg
Unknown,703.2990252,Neg
Unknown,720.2938576,Neg
Unknown,721.2891918,Neg
Unknown,721.2897763,Neg
Sodium formate 4,724.8724,Neg
Unknown,772.2550932,Neg
Unknown,790.2458441,Neg
Sodium formate 5,792.8599,Neg
Unknown,800.2862139,Neg
Unknown,800.2867892,Neg
Unknown,818.2770366,Neg
Sodium formate 6,860.8473,Neg
Sodium formate 7,928.8347,Neg
"NMP, N-methyl 2-pyrrolidone; solvent, floor stripper",100.07569,Pos
"DMSO, Dimethylsulfoxide, solvent",101.003156,Pos
"TEA, Triethylamine, buffer",102.127725,Pos
"Sodium acetate, ESI solvents",104.992294,Pos
"ACN, Acetonitrile, solvent",105.042318,Pos
"TRIS, TRIS, buffer",122.08117,Pos
"DMAP, Dimethylaminopyridine, solvent",123.091674,Pos
"DIPEA, Diisopropylethylamine, solvent",130.159025,Pos
"TPA, Tripropylamine, solvent",144.174675,Pos
"ACN, Acetonitrile, solvent",146.068867,Pos
Pthalic Anhydride,149.02332,Pos
"Phenyldiethylamine, solvent",150.127725,Pos
"DBU, 1,8-Diazabicyclo[5.4.0]undec-7-ene",153.138624,Pos
"DMSO, Dimethylsulfoxide, solvent",157.035148,Pos
"NaTFA, Sodium trifluoroacetate, salt",158.964029,Pos
"DGBE, Diethylene glycol monobutyl ether, cpd. In scintillation cocktail",163.132871,Pos
"d6-DMSO, d6-Dimethylsulfoxide, solvent",169.11046,Pos
"4-HCCA, matrix compound",172.039305,Pos
"DMSO, Dimethylsulfoxide, solvent",179.017092,Pos
"BHA, Butylated hydroxyanisole, antioxidant additives",181.122306,Pos
"DPK, Diphenyl ketone",183.080441,Pos
"GE, glycol ether",185.114815,Pos
2-(4-Methylthiazol-5-yl)ethyl acetate,186.05833,Pos
"TBA, Tributylamine, solvent",186.221625,Pos
TBA,186.22163,Pos
"4-HCCA, matrix compound",190.04987,Pos
"Dimethyl phthalate, Phthalate esters, plasticizer",195.065186,Pos
Unknown,195.1228765,Pos
Unknown,196.2061899,Pos
Diethylene glycol monobutyl ether,201.0888,Pos
Unknown,202.2167124,Pos
"BHA, Butylated hydroxyanisole, antioxidant additives",203.10425,Pos
Unknown,211.1938187,Pos
"4-HCCA, matrix compound, sodiated",212.031814,Pos
"n-BBS, n-butyl benzenesulfonamide, plasticizer",214.089626,Pos
Unknown,217.1050227,Pos
"BTH, Butylated hydroxytoluene, Antioxidant",221.189991,Pos
"DCU, N,N'-Dicyclohexylurea",225.196139,Pos
Sodium formate 1,226.9515,Pos
Unknown,227.2063693,Pos
Lauryldimethylamine oxide,230.2478,Pos
"n-BBS, n-butyl benzenesulfonamide, plasticizer",231.116175,Pos
"n-BBS, n-butyl benzenesulfonamide, plasticizer",236.07157,Pos
"N,N-Dimethyltetradecylamine",242.2842,Pos
"BTH, Butylated hytroxytoluene, Antioxidant additives",243.171935,Pos
1-Dodecyl-2-pyrrolidinone,254.2478,Pos
"DMSO, Dimethylsulfoxide, solvent",257.031028,Pos
Myristamine oxide,258.2791,Pos
Unknown,261.1312641,Pos
"TBP, Tributylphosphate",267.171973,Pos
Unknown,270.3156198,Pos
Tris(2-ethylhexl)phosphate,279.0933,Pos
"TPO, Triphenylphosphine oxide",279.093328,Pos
"Dibutylphthalate, Plasticiser, phtalate ester",279.159086,Pos
Dibutyl phthalate,279.1591,Pos
"Dodemorph, Laurocapram",282.2791,Pos
"Oleamide, Slip agent in polyethylene films",282.27914,Pos
Hexaethylene glycol,283.1751,Pos
"Stearamide, Slip agent in polyethylene films",284.29479,Pos
"n,n-DDA, n,n-bis(2-hydroxyethyl) dodecanamide, anti-static agent",288.25332,Pos
Unknown,288.2533864,Pos
Sodium formate 2,294.9389,Pos
PEG (n6),300.20168,Pos
"Dibutylphthalate, Dibutylphthalate, plasticizer",301.14103,Pos
"Oleamide, Slip agent in polyethylene films",304.261084,Pos
Fenpropimorph,304.2635,Pos
"Stearamide, Slip agent in polyethylene films",306.276734,Pos
EDTA,315.0799,Pos
"DBS, Dibutyl sebacate, plasticizer",315.252986,Pos
"Dibutylphthalate, plasticizer",317.11497,Pos
Bis(2-ethylhexyl)phosphate (DEHPA),323.2346,Pos
"DGBE, Diethylene glycol monobutyl ether, cpd. In scintillation cocktail",325.258466,Pos
"TPP, Triphenyl phosphate, flame retardant in plastics",327.078073,Pos
Triphenyl phosphate (TPP),327.0781,Pos
Dicyclohexylphthalate,331.1904,Pos
Dihexyl phthalate,335.2217,Pos
Unknown,337.2349777,Pos
Erucamide,338.3417,Pos
"Erucamide, Erucamide, (Cis-13-docosenoic amide)",338.34174,Pos
Cocamidopropyl betaine,343.2966,Pos
PEG (n7),344.22789,Pos
Erucamide,355.3683,Pos
Chlorfenvinphos,358.9768,Pos
"Erucamide, Erucamide, (Cis-13-docosenoic amide)",360.323684,Pos
Erucamide,360.3237,Pos
Sodium formate 3,362.9263,Pos
"3,6,9,12-Tetraoxatetracosan-1-ol (contaminant, used in cosmetics as a cleansing, emulsifying and surfactant agent)",363.3116,Pos
Tricresylphosphate (TCP),369.125,Pos
"Polysiloxane, Polysiloxane, followed by m/z 388",371.101236,Pos
"DEHA, Bis(2-ethylhexyl) adipate, plasticizer",371.315586,Pos
"DOA, Dioctyl adipate, plasticizer",371.315586,Pos
"4-HCCA, matrix cluster, dimer",379.092464,Pos
"Triton, reduced",381.2975,Pos
"Polysiloxane, Polysiloxane, (see m/z 371)",388.127785,Pos
PEG (n8),388.25411,Pos
"Diisooctyl phthalate, Diisooctyl phthalate, plasticiser",391.284286,Pos
Dioctyl phthalate (plasticizer),391.2843,Pos
Unknown,394.3529386,Pos
Dioctyl phthalate (plasticizer),413.26623,Pos
"Diisooctyl phthalate, Diisooctyl phthalate, plasticiser",413.26623,Pos
Unknown,420.3321981,Pos
"1,2-Cyclohexane dicarboxylic acid diisononyl ester (DINCH)",425.36254,Pos
Dioctyl phthalate (plasticizer),429.24017,Pos
Sodium formate 4,430.9138,Pos
PEG (n9),432.28032,Pos
Tris(2-ethylhexl)phosphate,435.3598,Pos
Unknown,444.3799879,Pos
"Polysiloxane, Polysiloxane, followed by m/z 462",445.120028,Pos
"PPG, Polypropylene glycol, ubiquitous polyether",447.29284,Pos
"DCU, N,N'-Dicyclohexylurea",449.385002,Pos
"nylon , Cyclic oligomer of polyamide 66, (adipic acid/hexylmethylene diamine condensation) ",453.343532,Pos
Dioctyl phthalate (plasticizer),454.29278,Pos
"Polysiloxane, Polysiloxane (see m/z 445)",462.146577,Pos
Unknown,464.2927989,Pos
"Peptide, porcine trypsin",472.28781,Pos
Unknown,473.2651103,Pos
PEG (n10),476.30654,Pos
Unknown,478.3893258,Pos
Unknown,478.3896484,Pos
Unknown,492.4050001,Pos
Sodium formate 5,498.9012,Pos
"Peptide, trypsin-like artefact",515.330008,Pos
"DDTDP, Didodecyl 3,3?-thiodipropionate, antioxidant",515.412857,Pos
"Polysiloxane, Polysiloxane, followed by m/z 536",519.13882,Pos
PEG (n11),520.33275,Pos
Unknown,522.597991,Pos
Unknown,526.431913,Pos
"DDTDP, Didodecyl 3,3?-thiodipropionate oxidized to sulfoxide, antioxidant",531.407772,Pos
"Irganox, Irganox 1076, antioxidant in synthetic polymers, antioxidant",531.477171,Pos
"Polysiloxane, Polysiloxane (see m/z 519)",536.165369,Pos
