RT (min),m/z,Neutral mass,Adducts,Polarity,Internal Standard,MS/MS available?,Annotation,Annotation Type,Metaboscape Annotation Status,Annotation Source,Headgroup,Lipid Class,Δm/z (mDa),Δm/z (ppm),MS/MS score,Annotation tier,mSigma,CCS (Å²),Mob. 1/K0,ΔCCS [%],CCS_outlier?,CCS_outlier_score,CCS_outlier_reason,Molecular Formula,Plasmenyl?,Number of carbons in fatty acyls,Double bond equivalents,Number of carbons in fatty acyl 1,Double bonds in fatty acyl 1,Number of carbons in fatty acyl 2,Double bonds in fatty acyl 2,Number of carbons in fatty acyl 3,Double bonds in fatty acyl 3,Number of carbons in fatty acyl 4,Double bonds in fatty acyl 4,Chain type,PUFA?,Modifications,# of modifications,Oxidized?,Carbons / double bond equivalent ratio,Detected for (type of sample)
7.31,375.38928,392.39225,"[M-H2O+H]+, [M+Na]+, [2M+Na]+",Pos,bruker.bsf.mcube.client.ui.model.impl.BucketTableLine@1f4c1d63,TRUE,[D6]ST 27:1;O,IS,Target List - BRG Internal Standards,BRG Internal Standards,ST,ST,0.04,0.107,,High confidence,9.6,204.5,0.985,0,,,,C27D6H40O,No,27,1,27,1,,,,,,,odd,No,O,1,Yes,27,HepG2 cells + PFAS
14.51,675.67766,657.64286,"[M+NH4]+, [2M+NH4]+",Pos,bruker.bsf.mcube.client.ui.model.impl.BucketTableLine@4ecb80bd,TRUE,[D7]CE 18:1,IS,Target List - TargetList_Avanti Splash ISs,TargetList_Avanti Splash ISs,CE,CE,-0.283,-0.419,,High confidence,1.7,290.9,1.424,-0.4,No,,,C45D7H71O2,No,18,1,18,1,,,,,,,even,No,,0,No,18,All (Internal standards)
11.17,632.54816,587.54996,[M+HCOO]-,Neg,bruker.bsf.mcube.client.ui.model.impl.BucketTableLine@68a8a8ce,TRUE,[D7]DG 15:0_18:1,IS,"Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs",TargetList_Avanti Splash ISs,DG,DG,-0.655,-1.036,,High confidence,8.5,261,1.276,-0.7,,,,C36D7H61O5,No,33,1,15,0,18,1,,,,,odd,No,,0,No,33,Snail brains
2.5,529.39918,528.39157,"[M+H]+, [2M+Na]+, [M+K]+, [2M+H]+, [M+Na]+",Pos,bruker.bsf.mcube.client.ui.model.impl.BucketTableLine@3e167290,TRUE,[D7]LPC 18:1,IS,Target List - TargetList_Avanti Splash ISs,TargetList_Avanti Splash ISs,LPC,LPC,-0.175,-0.331,,High confidence,5.7,236.3,1.15,0.3,No,,,C26D7H45NO7P,No,18,1,18,1,,,,,,,even,No,,0,No,18,All (Internal standards)
2.64,573.39013,528.39192,[M+HCOO]-,Neg,bruker.bsf.mcube.client.ui.model.impl.BucketTableLine@2eebe7b9,TRUE,[D7]LPC 18:1,IS,"Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs",TargetList_Avanti Splash ISs,LPC,LPC,-0.153,-0.266,,High confidence,11.2,243.3,1.187,-0.3,,,,C26D7H45NO7P,No,18,1,18,1,,,,,,,even,No,,0,No,18,Snail brains
2.58,485.33762,486.3449,[M-H]-,Neg,bruker.bsf.mcube.client.ui.model.impl.BucketTableLine@5e8fe89,TRUE,[D7]LPE 18:1,IS,Target List - TargetList_Avanti Splash ISs,TargetList_Avanti Splash ISs,LPE,LPE,-0.23,-0.475,,High confidence,3.6,216.4,1.051,-0.1,No,,,C23D7H39NO7P,No,18,1,18,1,,,,,,,even,No,,0,No,18,All (Internal standards)
2.58,487.35212,486.34472,"[M+H]+, [M+Na]+",Pos,bruker.bsf.mcube.client.ui.model.impl.BucketTableLine@19b49fca,TRUE,[D7]LPE 18:1,IS,Target List - TargetList_Avanti Splash ISs,TargetList_Avanti Splash ISs,LPE,LPE,-0.282,-0.578,,High confidence,4,218.6,1.061,0.5,No,,,C23D7H39NO7P,No,18,1,18,1,,,,,,,even,No,,0,No,18,All (Internal standards)
2.89,485.33802,486.34494,"[M-H]-, [M+Na+COO]-, [2M-H]-",Neg,bruker.bsf.mcube.client.ui.model.impl.BucketTableLine@6df1aa6c,TRUE,[D7]LPE 18:1,IS,"Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs, Target List - TargetList_Avanti Splash ISs",TargetList_Avanti Splash ISs,LPE,LPE,0.168,0.347,,High confidence,12.5,216.7,1.052,0.1,,,,C23D7H39NO7P,No,18,1,18,1,,,,,,,even,No,,0,No,18,Snail brains
7.62,666.50908,667.51636,[M-H]-,Neg,bruker.bsf.mcube.client.ui.model.impl.BucketTableLine@4dcb8dd7,TRUE,[D7]PA 15:0_18:1,IS,Target List - TargetList_Avanti Splash ISs,TargetList_Avanti Splash ISs,PA,PA,-0.586,-0.879,,High confidence,9.8,258.9,1.267,,No,,,C36D7H62O8P,No,33,1,15,0,18,1,,,,,odd,No,,0,No,33,All (Internal standards)
7.41,690.50625,667.51703,[M+Na]+,Pos,bruker.bsf.mcube.client.ui.model.impl.BucketTableLine@bb4e4d1,TRUE,[D7]PA 15:0_18:1,IS,Target List - TargetList_Avanti Splash ISs,TargetList_Avanti Splash ISs,PA,PA,0.085,0.123,,High confidence,13.1,271.1,1.327,,No,,,C36D7H62O8P,No,33,1,15,0,18,1,,,,,odd,No,,0,No,33,All (Internal standards)
