time group,Lower window (min),Upper window (min)
0,0,0
1,13.3,15.4
2,13.8,16.5
3,13.8,16.5
4,13.1,16.5
5,13,16.5
6,5.8,9
7,7.7,9.2
8,1.3,4.2
9,1.6,4.4
10,1.7,6.4
11,5.7,7.6
12,4.5,6
13,6,7.7
14,6.2,9.6
15,6.9,16.5
16,12.8,16.5
17,13.8,16.5
18,14.5,16.5
19,1.5,3
20,3,11.6
21,5.9,13.5
22,5,15
23,12.5,15.4
24,13.6,15.5
25,1.4,2.9
26,3,4.5
27,5.9,7.5
28,7.4,12
29,12,14.4
30,6.1,7.6
31,10,13.9
32,12.2,15.1
33,12.2,15.2
34,11.8,15.5
35,0.5,3.8
36,0.6,3.9
37,1,5.9
38,1.6,7.5
39,4.9,8.5
40,5.9,12.8
41,2.7,14.6
42,2.8,14.8
43,6.1,9.8
44,4.6,9.5
45,8,15.5
46,13.1,16.5
47,6.3,7.8
48,6.5,8
49,8.4,9.9
50,1.2,2.7
51,1.2,4.7
52,10.8,12.3
53,2.5,4
54,1.2,2.8
55,8.4,9.9
56,6.3,7.9
57,0.8,4.1
58,1,5.7
59,0.5,7.9
60,1,11.8
61,0.6,13.1
62,0.7,14.1
63,1.2,15.3
64,1.2,15.3
65,13.3,15.4
66,2.7,15.5
67,14,16.5
68,14.1,16.5
69,2,3.5
70,3,4.5
71,3.4,5.5
72,3.7,6
73,1.7,4.6
74,3,7.5
75,5.9,11.8
76,9,12.5
77,11.7,13.2
78,13.4,15.2
79,1.3,4.1
80,1.5,5.8
81,1.6,6.7
82,3.3,7.9
83,10.2,11.7
84,1,4.1
85,1,5.3
86,1.4,7.9
87,1,8
88,2.7,12.8
89,5.8,13.3
90,0.6,2.8
91,0.6,3.5
92,0.7,5.2
93,5.9,7.4
94,6.1,7.6
95,1.6,7.5
96,3,8
97,6.3,10.2
98,12.9,14.4
99,6.2,9.4
100,6,7.5
101,6.1,8.8
102,13.4,15.2
103,1.1,4.2
104,1.1,6
105,1.6,8
106,5.9,12
107,6,13.8
108,12.1,14.2
109,12.7,15.1
110,13.7,15.2
111,2.9,8.2
112,1.6,13
113,6.2,13
114,1.2,2.7
115,8.4,9.9
116,8.5,14
117,1.7,4.9
118,1.8,6.2
119,1.5,4.1
120,1.5,6
121,1.3,6.3
122,5.3,7.6
123,1.6,4.9
124,1.3,6.3
125,3,7.5
126,5.9,7.4
127,1.6,4.3
128,1.6,6.1
129,1.4,4
130,1.3,4.4
131,1.8,3.8
132,0.5,4.2
133,1.6,4.3
134,1.6,6.2
135,3.1,7.2
136,5.7,7.2
137,1.4,4.5
138,2.4,4
139,1.7,5
140,1.7,6.4
141,1.9,4.9
142,1.1,2.6
143,1.7,7.5
144,3.1,7.8
145,1.4,2.9
146,1.3,3
147,2.6,5.1
148,2.6,6.3
149,0.9,7.7
150,2,4.4
151,1.6,6.3
152,3,7.6
153,13.7,15.2
154,12.7,14.2
155,2.8,4.3
156,1.8,6.2
157,2.9,7.5
158,2.6,4.3
159,1.8,5.5
160,1.8,7.5
161,5.6,11.4
162,6,14.3
163,10.4,14.5
